Name,type,value
Bethany Fair-Fingers,Book(s),A Storm of Swords (mentioned)
Bethany Redwyne,Title,Lady of Goldengrove
Bethany Redwyne,Allegiance,House Redwyne;House Rowan
Bethany Redwyne,Spouse,Lord Mathis Rowan
Bethany Redwyne,Book(s),A Game of Thrones (mentioned)
Bethany Rosby,Title,Lady
Bethany Rosby,Allegiance,House Rosby;House Frey
Bethany Rosby,Born,In 265 AC or before;
Bethany Rosby,Died,In or between 282 AC and 284 AC;
Bethany Rosby,Spouse,Lord Walder Frey
Bethany Rosby,Book(s),A Clash of Kings (mentioned) A Storm of Swords (mentioned) A Feast for Crows (mentioned) A Dance with Dragons (mentioned)
Betharios of Braavos,Alias,Betharios of Braavos
Betharios of Braavos,Allegiance,House Frey
Betharios of Braavos,Spouse,Symond Frey
Betharios of Braavos,Book(s),A Clash of Kings (mentioned) A Storm of Swords (mentioned) A Feast for Crows (mentioned)
Bhakaz zo Loraq,Title,Cupbearer
Bhakaz zo Loraq,Allegiance,House of Loraq
Bhakaz zo Loraq,Culture,Ghiscari
Bhakaz zo Loraq,Born,At Meereen
Bhakaz zo Loraq,Book(s),A Dance with Dragons (appears)
Bharbo,Title,Khal
Bharbo,Culture,Dothraki
Bharbo,Book(s),A Game of Thrones (mentioned)
Big Boil,Culture,Free Folk
Big Boil,Book(s),A Storm of Swords (appears) A Feast for Crows (mentioned)
Biter,Alias,Biter by Amok&copy;
Biter,Allegiance,Brave Companions
Biter,Died,In 300 AC; at the inn at the crossroads
Biter,Book(s),A Clash of Kings (appears) A Storm of Swords (mentioned) A Feast for Crows (appears)
Biter,Played by,Unknown extra ~ Season 1Gerard Jordan ~ Season 2
Biter,TV series,Season 1
Black Balaq,Alias,Black Balaq
Black Balaq,Allegiance,Golden Company
Black Balaq,Culture,Summer Islander
Black Balaq,Book(s),A Dance with Dragons (appears)
Black Bernarr,Allegiance,Night's Watch
Black Bernarr,Book(s),A Storm of Swords (appears) A Feast for Crows (mentioned) A Dance with Dragons (appears)
Black Jack Bulwer,Alias,Black Jack Bulwer
Black Jack Bulwer,Title,First Ranger
Black Jack Bulwer,Allegiance,Night's Watch
Black Jack Bulwer,Died,In 300 AC; at Beyond the Wall
Black Jack Bulwer,Book(s),A Storm of Swords (appears) A Feast for Crows (appears) A Dance with Dragons (appears)
Blane,Allegiance,Night's Watch
Blane,Book(s),A Clash of Kings (appears) A Storm of Swords (mentioned)
Blind Doss,Alias,Blind Doss
Blind Doss,Culture,Free folk
Blind Doss,Book(s),A Dance with Dragons (mentioned)
Bloodbeard,Allegiance,Company of the Cat
Bloodbeard,Book(s),A Dance with Dragons (appears) The Winds of Winter (mentioned)
Bluetooth,Allegiance,House Greyjoy
Bluetooth,Culture,Ironborn
Bluetooth,Book(s),A Clash of Kings;A Storm of Swords (mentioned) A Feast for Crows (mentioned)
Bodger,Culture,Free Folk
Bodger,Book(s),A Storm of Swords (mentioned) A Feast for Crows (mentioned)
Bonifer Hasty,Alias,Bonifer the Good;Baelor Butthole
Bonifer Hasty,Title,Ser;Castellan of Harrenhal
Bonifer Hasty,Allegiance,House Hasty;The Holy Hundred
Bonifer Hasty,Book(s),A Clash of Kings (appears) A Storm of Swords (mentioned) A Feast for Crows (appears) A Dance with Dragons (mentioned)
Borcas,Allegiance,Night's Watch
Borcas,Book(s),A Game of Thrones (mentioned)
Boremund Harlaw,Alias,Boremund the Blue
Boremund Harlaw,Title,Master of Harridan Hill
Boremund Harlaw,Allegiance,House Harlaw of Harridan Hill
Boremund Harlaw,Culture,Ironborn
Boremund Harlaw,Book(s),A Feast for Crows (appears) A Dance with Dragons (mentioned)
Boros Blount,Alias,Boros the Belly
Boros Blount,Title,Ser
Boros Blount,Allegiance,House Blount;Kingsguard
Boros Blount,Book(s),A Game of Thrones (appears) A Clash of Kings (appears) A Storm of Swords (appears) A Feast for Crows (appears) A Dance with Dragons (appears)
Borroq,Culture,Free folk
Borroq,Book(s),A Dance with Dragons (appears)
Bors,Allegiance,House Martell
Bors,Book(s),A Feast for Crows (mentioned)
Bowen Marsh,Alias,Old Pomegranate
Bowen Marsh,Title,Lord Steward;First Steward
Bowen Marsh,Allegiance,Night's Watch
Bowen Marsh,Book(s),A Game of Thrones (appears) A Clash of Kings (mentioned) A Storm of Swords (appears) A Feast for Crows (mentioned) A Dance with Dragons (appears)
Bowen Marsh,Played by,Michael Condron
Bowen Marsh,TV series,Season 5
Boy,Born,At 284 AC
Boy,Book(s),A Storm of Swords (mentioned) A Feast for Crows (mentioned)
Bradamar Frey,Allegiance,House Frey
Bradamar Frey,Born,In 289 AC;
Bradamar Frey,Book(s),A Clash of Kings (mentioned) A Storm of Swords (mentioned) A Feast for Crows (mentioned)
Brandon Norrey,Title,The Norrey;Lord Norrey
Brandon Norrey,Allegiance,House Norrey
Brandon Norrey,Culture,Northern mountain clans
Brandon Norrey,Book(s),A Feast for Crows (mentioned) A Dance with Dragons (appears)
Brandon Stark,Alias,The Wild Wolf
Brandon Stark,Allegiance,House Stark
Brandon Stark,Culture,Northmen
Brandon Stark,Born,In 262 AC; at Winterfell
Brandon Stark,Died,In 282 AC; at King's Landing
Brandon Stark,Book(s),A Game of Thrones (mentioned) A Clash of Kings (mentioned) A Storm of Swords (mentioned) A Dance with Dragons (mentioned)
Brandon Stark (son of Cregan),Title,Lord of Winterfell;Warden of the North
Brandon Stark (son of Cregan),Allegiance,House Stark
Brandon Stark (son of Cregan),Culture,Northmen
Brandon Stark (son of Cregan),Spouse,Lady Alys Karstark
Brandon Stark (son of Cregan),Book(s),The World of Ice and Fire (mentioned) A Clash of Kings (mentioned)
Bran Stark,Alias,Bran;Bran the Broken;The Winged Wolf
Bran Stark,Title,Prince of Winterfell;
Bran Stark,Allegiance,House Stark
Bran Stark,Culture,Northmen
Bran Stark,Born,In 290 AC; at Winterfell
Bran Stark,Book(s),A Game of Thrones (POV) A Clash of Kings (POV) A Storm of Swords (POV) A Feast for Crows (mentioned) A Dance with Dragons (POV)
Bran Stark,Played by,Isaac Hempstead-Wright
Bran Stark,TV series,Season 1
Bran the Builder,Alias,Bran the Builder
Bran the Builder,Title,King of Winter
Bran the Builder,Allegiance,House Stark
Bran the Builder,Race,First Men
Bran the Builder,Culture,First Men
Bran the Builder,Book(s),A Game of Thrones (mentioned) A Clash of Kings (mentioned;A Storm of Swords (mentioned) A Feast for Crows (mentioned) A Dance with Dragons (mentioned) The World of Ice and Fire (mentioned)
Brandon Stark (Bad),Alias,Brandon the Bad
Brandon Stark (Bad),Title,King in the North;Lord of Winterfell
Brandon Stark (Bad),Allegiance,House Stark
Brandon Stark (Bad),Culture,Northmen
Brandon Stark (Bad),Book(s),A Clash of Kings (mentioned)
Brandon Stark (Burner),Full Name,Brandon Stark
Brandon Stark (Burner),Alias,Brandon the Burner
Brandon Stark (Burner),Other Titles,King in the North;Lord of Winterfell
Brandon Stark (Burner),Buried in, at Winterfell
Brandon Stark (Burner),Culture,Northmen
Brandon Stark (Burner),Royal House,House Stark
Brandon Stark (Burner),Predecessor,Brandon the Shipwright
Brandon Stark (Burner),Father,Brandon Stark
Brandon Stark (Burner),Book(s),A Game of Thrones (mentioned) A Clash of Kings (mentioned)
Brandon Stark (the daughterless),Title,Lord of Winterfell;Warden of the North
Brandon Stark (the daughterless),Allegiance,House Stark
Brandon Stark (the daughterless),Culture,Northmen
Brandon Stark (the daughterless),Book(s),A Clash of Kings (mentioned)
Brandon Stark (Shipwright),Full Name,Brandon Stark
Brandon Stark (Shipwright),Alias,Brandon the Shipwright
Brandon Stark (Shipwright),Other Titles,King in the North;Lord of Winterfell
Brandon Stark (Shipwright),Buried in, at Winterfell
Brandon Stark (Shipwright),Culture,Northmen
Brandon Stark (Shipwright),Royal House,House Stark
Brandon Stark (Shipwright),Successor,Brandon Stark
Brandon Stark (Shipwright),Issue,Brandon Stark
Brandon Stark (Shipwright),Book(s),A Game of Thrones (mentioned) A Clash of Kings (mentioned)
Brandon Tallhart,Allegiance,House Tallhart
Brandon Tallhart,Culture,Northmen
Brandon Tallhart,Born,In 284 AC or 285 AC;
Brandon Tallhart,Book(s),A Clash of Kings (mentioned) A Storm of Swords (mentioned) A Feast for Crows (mentioned) A Dance with Dragons (mentioned)
Branston Cuy,Title,Lord of Sunflower Hall
Branston Cuy,Allegiance,House Cuy
Branston Cuy,Book(s),A Feast for Crows (mentioned)
Brea,Culture,Braavosi
Brea,Book(s),A Feast for Crows (mentioned)
Brella,Allegiance,House Baratheon (formerly)House Lannister (formerly)
Brella,Book(s),A Storm of Swords (mentioned) A Feast for Crows (mentioned)
Brenett,Title,Maester
Brenett,Allegiance,House Frey
Brenett,Book(s),A Storm of Swords (appears)
Briar,Culture,Free Folk
Briar,Book(s),A Dance with Dragons (mentioned)
Brienne of Tarth,Alias,Brienne of Tarth;The Maid of Tarth;Brienne the Beauty;Brienne the Blue
Brienne of Tarth,Allegiance,House Tarth;House Baratheon of Storm's End;Rainbow Guard;House Tully
Brienne of Tarth,Born,In 280 AC;
Brienne of Tarth,Book(s),A Clash of Kings (appears) A Storm of Swords (appears) A Feast for Crows (POV) A Dance with Dragons (appears)
Brienne of Tarth,Played by,Gwendoline Christie
Brienne of Tarth,TV series,Season 2
Brogg,Culture,Free Folk
Brogg,Book(s),A Dance with Dragons (mentioned)
Bronn,Alias,Ser Bronn of the Blackwater;Lord Stokeworth
Bronn,Title,Ser
Bronn,Allegiance,House Stokeworth
Bronn,Born,In or between 264 AC and 268 AC;
Bronn,Spouse,Lady Lollys Stokeworth
Bronn,Book(s),A Game of Thrones (appears) A Clash of Kings (appears) A Storm of Swords (appears) A Feast for Crows (mentioned) A Dance with Dragons (mentioned) The Winds of Winter (mentioned)
Bronn,Played by,Jerome Flynn
Bronn,TV series,Season 1
Brown Bernarr,Allegiance,Night's Watch
Brown Bernarr,Died,In 299 AC; at Fist of the First Men
Brown Bernarr,Book(s),A Clash of Kings (appears) A Storm of Swords (mentioned)
Brusco,Alias,Big Brusco
Brusco,Culture,Braavosi
Brusco,Book(s),A Feast for Crows (appears) A Dance with Dragons (appears)
Bryan Frey,Allegiance,House Frey
Bryan Frey,Born,In or between 281 AC and 291 AC;
Bryan Frey,Book(s),A Clash of Kings (mentioned) A Storm of Swords (mentioned) A Feast for Crows (mentioned)
Bryan Fossoway,Title,Ser
Bryan Fossoway,Allegiance,House Fossoway of Cider Hall
Bryan Fossoway,Died,In 299 AC; at Blackwater Rush
Bryan Fossoway,Book(s),A Clash of Kings (appears)
Bryan of Oldtown,Culture,Reach
Bryan of Oldtown,Born,At Oldtown
Bryan of Oldtown,Book(s),The World of Ice and Fire (mentioned)
Bryce Caron,Alias,Bryce the Orange
Bryce Caron,Title,Lord of Nightsong;Lord of the Marches
Bryce Caron,Allegiance,House Caron;Rainbow Guard (former)House Baratheon of Dragonstone
Bryce Caron,Died,In 299 AC; at the Blackwater Rush;
Bryce Caron,Book(s),A Game of Thrones (appears) A Clash of Kings (appears) A Dance with Dragons (mentioned)
Bryen,Allegiance,House Baelish
Bryen,Born,In or before 220 AC;
Bryen,Book(s),A Storm of Swords (appears)
Bryen Caron,Title,Lord of the Marches;Lord of Nightsong
Bryen Caron,Allegiance,House Caron
Bryen Caron,Died,In 289 AC;
Bryen Caron,Book(s),A Feast for Crows (mentioned)
Bryen Farring,Allegiance,House Farring
Bryen Farring,Died,In 300 AC; at the wolfswood
Bryen Farring,Book(s),A Clash of Kings (appears) A Storm of Swords (mentioned) A Feast for Crows (mentioned) A Dance with Dragons (appears)
Brynden Rivers,Alias,Lord Bloodraven;The three-eyed crow
Brynden Rivers,Title,Ser;Hand of the King;Lord Commander of the Night's Watch;
Brynden Rivers,Allegiance,House Targaryen;Night's Watch
Brynden Rivers,Culture,Valyrian
Brynden Rivers,Born,In 175 AC; at King's Landing;
Brynden Rivers,Died,In 252 AC (presumed); at beyond the Wall
Brynden Rivers,Book(s),The World of Ice and Fire (mentioned) The Sworn Sword (mentioned) The Mystery Knight (appears) A Feast for Crows (mentioned) A Dance with Dragons (appears)
Brynden Rivers,Played by,Struan Rodger ~ Season 4Max von Sydow ~ Season 6
Brynden Rivers,TV series,Season 4
Brynden Tully,Alias,Blackfish;Ser Brynden the Blackfish;Brynden Blackfish
Brynden Tully,Title,Ser;Warden of the Southern Marches;Knight of the Gate (formerly)
Brynden Tully,Allegiance,House Tully;House Arryn (formerly)
Brynden Tully,Culture,Rivermen
Brynden Tully,Born,In or between 242 AC and 245 AC;
Brynden Tully,Book(s),A Game of Thrones (appears) A Clash of Kings (appears) A Storm of Swords (appears) A Feast for Crows (appears) A Dance with Dragons (mentioned)
Brynden Tully,Played by,Clive Russell
Brynden Tully,TV series,Season 3
Buford Bulwer,Alias,The Old Ox
Buford Bulwer,Title,Ser
Buford Bulwer,Allegiance,House Bulwer
Buford Bulwer,Book(s),The Mystery Knight (appears)
Bump,Culture,Free folk
Bump,Book(s),A Dance with Dragons (mentioned)
Burton Crakehall,Title,Ser
Burton Crakehall,Allegiance,House Crakehall
Burton Crakehall,Died,In 299 AC; at the Riverlands
Burton Crakehall,Book(s),A Game of Thrones (appears) A Clash of Kings (mentioned) A Storm of Swords (mentioned) A Feast for Crows (mentioned)
Butterbumps,Alias,Butterbumps
Butterbumps,Allegiance,House Tyrell
Butterbumps,Book(s),A Clash of Kings (mentioned) A Storm of Swords (appears) A Feast for Crows (mentioned) A Dance with Dragons (mentioned)
Buu,Book(s),A Game of Thrones (mentioned)
Byam Flint,Title,Ser
Byam Flint,Allegiance,Night's Watch
Byam Flint,Died,In 299 AC; at Craster's Keep
Byam Flint,Book(s),A Storm of Swords (appears)
Byan Votyris,Culture,Norvoshi
Byan Votyris,Book(s),A Game of Thrones (mentioned)
Byren Flowers,Alias,Black Byren Flowers
Byren Flowers,Title,Ser
Byren Flowers,Book(s),The Sworn Sword (mentioned)
Byron,Alias,Byron the Beautiful
Byron,Title,Ser
Byron,Allegiance,House Baelish
Byron,Book(s),A Feast for Crows (appears) A Dance with Dragons (mentioned)
Cadwyl,Allegiance,House Greyjoy
Cadwyl,Culture,Ironborn
Cadwyl,Book(s),A Clash of Kings (mentioned) A Storm of Swords (mentioned)
Cadwyn,Title,Ser
Cadwyn,Allegiance,House Lannister
Cadwyn,Book(s),A Clash of Kings (appears)
Lord Cafferen,Title,Lord
Lord Cafferen,Allegiance,House Cafferen
Lord Cafferen,Died,In 282 AC; at Ashford
Lord Cafferen,Book(s),A Storm of Swords (mentioned)
Craghas Drahar,Alias,Craghas Crabfeeder
Craghas Drahar,Allegiance,Kingdom of the Three Daughters
Craghas Drahar,Culture,Myrish
Craghas Drahar,Died,In 108 AC
Craghas Drahar,Book(s),The Rogue Prince (mentioned)
Caleotte,Title,Maester
Caleotte,Allegiance,House Martell
Caleotte,Book(s),A Game of Thrones (mentioned) A Clash of Kings (mentioned) A Storm of Swords (mentioned) A Feast for Crows (appears) A Dance with Dragons (appears)
Calon,Allegiance,House Stark
Calon,Culture,Northmen
Calon,Book(s),A Clash of Kings (mentioned)
Camarron of the Count,Alias,Camarron of the Count
Camarron of the Count,Allegiance,House of Loraq
Camarron of the Count,Culture,Ghiscari
Camarron of the Count,Died,At Meereen
Camarron of the Count,Book(s),A Dance with Dragons (mentioned)
Canker Jeyne,Alias,Canker Jeyne
Canker Jeyne,Culture,Braavosi
Canker Jeyne,Book(s),A Feast for Crows (mentioned)
Carellen Smallwood,Allegiance,House Smallwood
Carellen Smallwood,Book(s),A Storm of Swords (mentioned) A Feast for Crows (mentioned)
Carolei Waynwood,Allegiance,House Waynwood;House Frey
Carolei Waynwood,Spouse,Ser Geremy Frey
Carolei Waynwood,Book(s),A Clash of Kings (mentioned) A Storm of Swords (mentioned) A Feast for Crows (mentioned)
Carrot,Allegiance,House Royce of the Gates of the Moon
Carrot,Book(s),A Feast for Crows (mentioned)
Cass,Book(s),A Storm of Swords (mentioned) A Feast for Crows (mentioned)
Cassana Estermont,Allegiance,House Estermont;House Baratheon
Cassana Estermont,Died,In 278 AC; at Shipbreaker Bay; near Storm's End
Cassana Estermont,Spouse,Lord Steffon Baratheon
Cassana Estermont,Book(s),A Clash of Kings (mentioned) A Storm of Swords (mentioned) A Dance with Dragons (mentioned)
Cassella Vaith,Title,Lady of Vaith
Cassella Vaith,Allegiance,House Vaith
Cassella Vaith,Culture,Dornishmen
Cassella Vaith,Book(s),The World of Ice and Fire (mentioned) The Sworn Sword (mentioned)
Lord Caswell,Title,Lord of Bitterbridge;Defender of the Fords
Lord Caswell,Allegiance,House Caswell
Lord Caswell,Book(s),A Dance with Dragons (mentioned)
Castos,Title,Archmaester
Castos,Book(s),A Feast for Crows (mentioned)
Catelyn Bracken,Allegiance,House Bracken
Catelyn Bracken,Book(s),A Dance with Dragons (mentioned)
Catelyn Stark,Alias,Catelyn Tully;Cat;Lady Stoneheart;The Silent Sister;Mother Merciless;The Hangwoman
Catelyn Stark,Title,Lady of Winterfell
Catelyn Stark,Allegiance,House Tully;House Stark;Brotherhood without banners
Catelyn Stark,Culture,Rivermen
Catelyn Stark,Born,In 264 AC or 265 AC; at Riverrun
Catelyn Stark,Died,In 299 AC; at the Twins
Catelyn Stark,Spouse,Lord Eddard Stark
Catelyn Stark,Book(s),A Game of Thrones (POV) A Clash of Kings (POV) A Storm of Swords (POV) A Feast for Crows (appears) A Dance with Dragons (mentioned)
Catelyn Stark,Played by,Michelle Fairley
Catelyn Stark,TV series,Season 1
Cayn,Allegiance,House Stark
Cayn,Culture,Northmen
Cayn,Died,In 298 AC; at King's Landing
Cayn,Book(s),A Game of Thrones (appears) A Clash of Kings (mentioned)
Cedra,Allegiance,House Martell
Cedra,Book(s),A Feast for Crows (mentioned)
Cedric Payne,Title,Ser
Cedric Payne,Allegiance,House Payne
Cedric Payne,Died,In 298 AC; at Riverlands
Cedric Payne,Book(s),A Feast for Crows (mentioned)
Cedrik Storm,Alias,the Bastard of Bronzegate
Cedrik Storm,Allegiance,House Buckler
Cedrik Storm,Book(s),A Storm of Swords (mentioned)
Cellador,Alias,Celladar;
Cellador,Title,Septon
Cellador,Allegiance,Night's Watch
Cellador,Book(s),A Game of Thrones (appears) A Clash of Kings (appendix) A Storm of Swords (appears) A Feast for Crows (appendix) A Dance with Dragons (appears)
Cerenna Lannister,Allegiance,House Lannister
Cerenna Lannister,Book(s),The World of Ice and Fire (appendix) A Game of Thrones (appendix) A Clash of Kings (mentioned) A Storm of Swords (mentioned) A Feast for Crows (mentioned) A Dance with Dragons (mentioned)
Cerrick,Alias,The Grey Pup
Cerrick,Title,Maester
Cerrick,Allegiance,House Webber
Cerrick,Culture,Ironborn
Cerrick,Book(s),The Sworn Sword (appears)
Cersei Frey,Alias,the Little Bee
Cersei Frey,Allegiance,House Frey
Cersei Frey,Born,In 292 AC or 293 AC;
Cersei Frey,Book(s),A Clash of Kings (mentioned) A Storm of Swords (appears) A Feast for Crows (mentioned)
Cersei Lannister,Title,Light of the West;Queen Dowager;Protector of the Realm;Lady of Casterly Rock;Queen Regent
Cersei Lannister,Allegiance,House Lannister
Cersei Lannister,Culture,Westerlands
Cersei Lannister,Born,In 266 AC;; at Casterly Rock
Cersei Lannister,Spouse,King Robert Baratheon
Cersei Lannister,Book(s),A Game of Thrones (appears) A Clash of Kings (appears) A Storm of Swords (appears) A Feast for Crows (POV) A Dance with Dragons (POV)
Cersei Lannister,Played by,Lena Headey
Cersei Lannister,TV series,Season 1
Cetheres,Title,Archmaester
Cetheres,Book(s),A Feast for Crows (mentioned)
Chataya,Allegiance,Chataya's brothel
Chataya,Culture,Summer Isles
Chataya,Book(s),A Game of Thrones (mentioned) A Clash of Kings (appears) A Storm of Swords (mentioned)
Chayle,Title,Septon
Chayle,Died,In 299 AC; at Winterfell
Chayle,Book(s),A Game of Thrones (appears) A Clash of Kings (appears) A Storm of Swords (mentioned)
Chella,Allegiance,Black Ears
Chella,Culture,Vale mountain clans
Chella,Book(s),A Game of Thrones (appears) A Clash of Kings (appears) A Storm of Swords (mentioned)
Chella,TV series,Season 1
Chett,Allegiance,Night's Watch
Chett,Born,At Hag's Mire
Chett,Died,In 299 AC; at Fist of the First Men
Chett,Book(s),A Game of Thrones (appears) A Clash of Kings (appears) A Storm of Swords (POV)
Cheyk,Allegiance,Black Ears
Cheyk,Book(s),A Game of Thrones (mentioned) A Clash of Kings (mentioned) A Dance with Dragons (mentioned)
Chiggen,Died,In 298 AC; at the Mountains of the Moon
Chiggen,Book(s),A Game of Thrones (appears)
Chiswyck,Allegiance,House Clegane
Chiswyck,Died,In 299 AC; at Harrenhal
Chiswyck,Book(s),A Clash of Kings (appears) A Storm of Swords (mentioned)
Clarence Charlton,Title,Ser
Clarence Charlton,Allegiance,House Charlton
Clarence Charlton,Book(s),The Mystery Knight (appears)
Clarence Crabb,Title,Ser
Clarence Crabb,Allegiance,House Crabb
Clarence Crabb,Book(s),A Feast for Crows (mentioned)
Clarence Crabb (Short),Alias,Clarence the Short
Clarence Crabb (Short),Title,Ser
Clarence Crabb (Short),Allegiance,House Crabb;Kingsguard
Clarence Crabb (Short),Book(s),A Feast for Crows (mentioned)
Clarent Crakehall,Title,Ser
Clarent Crakehall,Allegiance,House Crakehall;Greens
Clarent Crakehall,Born,At Crakehall
Clarent Crakehall,Died,In 130 AC; at Gods Eye
Clarent Crakehall,Book(s),The Princess and the Queen (mentioned)
Clayton Suggs,Title,Ser
Clayton Suggs,Allegiance,House Suggs;House Baratheon of Dragonstone;Queen's men
Clayton Suggs,Book(s),A Feast for Crows (mentioned) A Dance with Dragons (appears) The Winds of Winter (appears)
Clement,Title,Brother
Clement,Born,In 251 AC or 252 AC;
Clement,Book(s),A Feast for Crows (mentioned)
Clement Crabb,Title,Ser
Clement Crabb,Allegiance,House Crabb;Kingsguard
Clement Crabb,Book(s),The World of Ice and Fire (mentioned) A Feast for Crows (mentioned)
Clement Piper,Title,Lord of Pinkmaiden
Clement Piper,Allegiance,House Piper
Clement Piper,Culture,Rivermen
Clement Piper,Book(s),A Game of Thrones (mentioned) A Storm of Swords (mentioned) A Feast for Crows (appears) A Dance with Dragons (mentioned)
Cleon,Alias,Cleon the Great;The Butcher King;King Cleaver
Cleon,Title,King of Astapor
Cleon,Culture,Astapori
Cleon,Died,In 300 AC; at Astapor
Cleon,Book(s),A Storm of Swords (mentioned) A Feast for Crows (mentioned) A Dance with Dragons (mentioned)
Cleos Frey,Title,Ser
Cleos Frey,Allegiance,House Frey;House Lannister
Cleos Frey,Born,In or between 258 AC and 275 AC; at Casterly Rock;
Cleos Frey,Died,In 299 AC; at Riverlands
Cleos Frey,Spouse,Jeyne Darry
Cleos Frey,Book(s),A Game of Thrones (appendix) A Clash of Kings (appears) A Storm of Swords (appears) A Feast for Crows (mentioned) A Dance with Dragons (mentioned)
Cletus Yronwood,Title,Ser
Cletus Yronwood,Allegiance,House Yronwood
Cletus Yronwood,Culture,Dornishmen
Cletus Yronwood,Died,In 300 AC; at Disputed Lands
Cletus Yronwood,Book(s),A Feast for Crows (mentioned) A Dance with Dragons (mentioned)
Cley Cerwyn,Title,Lord of Cerwyn
Cley Cerwyn,Allegiance,House Cerwyn
Cley Cerwyn,Culture,Northmen
Cley Cerwyn,Born,In 284 AC or 285 AC; at Cerwyn;
Cley Cerwyn,Died,In 299 AC; at Winterfell
Cley Cerwyn,Book(s),A Clash of Kings (appears) A Storm of Swords (mentioned) A Feast for Crows (mentioned) A Dance with Dragons (mentioned)
Cleyton Caswell,Title,Ser
Cleyton Caswell,Allegiance,House Caswell
Cleyton Caswell,Book(s),The Sworn Sword (mentioned)
Clifford Conklyn,Title,Ser
Clifford Conklyn,Allegiance,House Conklyn
Clifford Conklyn,Book(s),The Sworn Sword (mentioned)
Clubfoot Karl,Alias,Clubfoot Karl
Clubfoot Karl,Allegiance,Night's Watch
Clubfoot Karl,Died,In 300 AC; at the haunted forest
Clubfoot Karl,Book(s),A Storm of Swords (appears) A Feast for Crows (mentioned) A Dance with Dragons (appears)
Clubfoot Karl,Played by,Burn Gorman
Clubfoot Karl,TV series,Season 3
Clydas,Allegiance,Night's Watch
Clydas,Born,In 240 AC or before;
Clydas,Book(s),A Game of Thrones (appears) A Clash of Kings (mentioned) A Storm of Swords (appears) A Feast for Crows (appears) A Dance with Dragons (appears)
Cohollo,Title,Ko;Bloodrider of Khal Drogo
Cohollo,Allegiance,Khal Drogo
Cohollo,Culture,Dothraki
Cohollo,Died,In ~298/299 AC; at Dothraki sea
Cohollo,Book(s),A Game of Thrones (appears)
Coldhands,Allegiance,Three-eyed crow
Coldhands,Book(s),A Storm of Swords (appears) A Feast for Crows (mentioned) A Dance with Dragons (appears)
Colemon,Title,Maester
Colemon,Allegiance,House Arryn
Colemon,Book(s),A Game of Thrones (appears) A Clash of Kings (mentioned) A Storm of Swords (appears) A Feast for Crows (appears) A Dance with Dragons (mentioned)
Colen of Greenpools,Title,Ser
Colen of Greenpools,Allegiance,House Baratheon
Colen of Greenpools,Book(s),A Clash of Kings (appears)
Colin Florent,Title,Ser;Castellan of Brightwater Keep
Colin Florent,Allegiance,House Florent
Colin Florent,Book(s),A Clash of Kings (mentioned) A Storm of Swords (mentioned) A Feast for Crows (mentioned)
Collio Quaynis,Culture,Tyroshi
Collio Quaynis,Book(s),A Storm of Swords (mentioned)
Colmar Frey,Allegiance,House Frey
Colmar Frey,Born,In 288 AC;
Colmar Frey,Book(s),A Clash of Kings (mentioned) A Storm of Swords (mentioned) A Feast for Crows (mentioned) A Dance with Dragons (mentioned)
Conn,Allegiance,Stone Crows
Conn,Culture,Vale mountain clans
Conn,Died,In 298 AC; at the Green Fork
Conn,Book(s),A Game of Thrones (appears)
Conwy,Allegiance,Night's Watch
Conwy,Book(s),A Clash of Kings (appears) A Storm of Swords (mentioned) A Feast for Crows (mentioned) A Dance with Dragons (mentioned)
Coratt,Allegiance,Stone Crows
Coratt,Culture,Vale mountain clans
Coratt,Book(s),A Game of Thrones (mentioned)
Corliss Penny,Title,Ser
Corliss Penny,Allegiance,House Penny;House Baratheon of Dragonstone;Queen's men
Corliss Penny,Book(s),A Feast for Crows (mentioned) A Dance with Dragons (appears)
Corlys Velaryon,Alias,The Sea Snake
Corlys Velaryon,Title,Lord of the Tides;Master of Driftmark;Hand of the Queen;Lord Regent;Master of ships
Corlys Velaryon,Allegiance,House Velaryon;Blacks;Greens
Corlys Velaryon,Culture,Valyrian
Corlys Velaryon,Born,In 53 AC;
Corlys Velaryon,Died,In 132 AC;
Corlys Velaryon,Spouse,Princess Rhaenys Targaryen
Corlys Velaryon,Book(s),The World of Ice and Fire (mentioned) The Rogue Prince (mentioned) The Princess and the Queen (mentioned)
Cortnay Penrose,Title,Ser;Castellan of Storm's End
Cortnay Penrose,Allegiance,House Penrose
Cortnay Penrose,Born,At Parchments;
Cortnay Penrose,Died,In 299 AC; at Storm's End
Cortnay Penrose,Book(s),A Clash of Kings (appears) A Storm of Swords (mentioned)
Cosgrove,Title,Steward
Cosgrove,Allegiance,House Butterwell
Cosgrove,Book(s),The Mystery Knight (appears)
Cossomo,Alias,Cossomo The Conjurer
Cossomo,Culture,Braavosi
Cossomo,Book(s),A Feast for Crows (mentioned)
Cotter Pyke,Title,Commander of Eastwatch-by-the-Sea
Cotter Pyke,Allegiance,Night's Watch
Cotter Pyke,Culture,Ironborn
Cotter Pyke,Book(s),A Game of Thrones (mentioned) A Clash of Kings (mentioned) A Storm of Swords (appears) A Feast for Crows (mentioned) A Dance with Dragons (mentioned)
Courtenay Greenhill,Title,Ser
Courtenay Greenhill,Allegiance,House Greenhill
Courtenay Greenhill,Book(s),A Feast for Crows (mentioned)
Cragorn,Allegiance,House Greyjoy
Cragorn,Died,In 300 AC
