Thoros of Myr,Thoros of Myr,Thoros,,,,,,,,,,,,
Timett,Timett,,,,,,,,,,,,,
Timon,Ser-Timon-the-Scrapesword,Timon-the-Scrapesword,Timon,,,,,,,,,,,
Tion-Frey,Tion-Frey,Tion,,,,,,,,,,,,
Tommen-Baratheon,Prince-Tommen-Lannister,Prince-Tommen,Tommen-Lannister,Tommen,,,,,,,,,,
Torrhen-Stark,Torrhen-Stark,King-Who-Knelt,KingWhoKnelt,,,,,,,,,,,
Tothmure,Maester-Tothmure,Tothmure,,,,,,,,,,,,
Turnip,Turnip,,,,,,,,,,,,,
Trystane-Martell,Trystane-Martell,Trystane,,,,,,,,,,,,
Tyrek-Lannister,Tyrek-Lannister,Tyrek,,,,,,,,,,,,
Tyrion-Lannister,Tyrion-the-Imp,Tyrion-Lannister,Imp,Lord-Tyrion,Tyrion,HandoftheKing,Halfman,halfman,Halfman,dwarf,KingsHand,Hand,little man,giant of Lannister
Tysha,Tysha,,,,,,,,,,,,,
Tytos-Blackwood,Lord-Tytos-Blackwood,Tytos-Blackwood,Lord-Tytos,Tytos,,,,,,,,,,
Tytos-Brax,Tytos-Brax,Lord-Brax,Brax,,,,,,,,,,,
Tywin-Lannister,Lord-of-Casterly-Rock,Tywin-Lannister,Lord-Tywin,Tywin,HandoftheKingTywin,,,,,,,,,
Urron-Redhand,Urron-Redhand,Urron,,,,,,,,,,,,
Urzen,Urzen,,,,,,,,,,,,,
Utt,Septon-Utt,Utt,,,,,,,,,,,,
Vardis-Egen,Vardis-Egen,Vardis,Egen,,,,,,,,,,,
Vargo-Hoat,Lord-Vargo-Hoat,Lord-Hoat,Lord-Vargo,Vargo-Hoat,Vargo,Hoat,,,,,,,,
Varner,Lord-Varner,Varner,,,,,,,,,,,,
Varys,Lord-Eunuch,Lord-Varys,Varys,Spider,Eunuch,eunuch,master-of-whisperers,,,,,,,
Vayon-Poole,Vayon-Poole,Vayon,,,,,,,,,,,,
Velaryon,Lord-Velaryon,Velaryon,Lord-of-the-Tides,,,,,,,,,,,
Viserys,Viserys,,,,,,,,,,,,,
Vylarr,Vylarr,,,,,,,,,,,,,
Vyman,Vyman,Maester-Vyman,,,,,,,,,,,,
Walda,Lady-Walda,Walda,,,,,,,,,,,,
Walder-Frey,Lord-Walder-Frey,Walder-Frey,Lord-Walder,Lord-Frey,Lord-of-the-Crossing,,,,,,,,,
Big Walder,Big Walder Frey,Big Walder,,,,,,,,,,,,
Little Walder,Little Walder Frey,Little Walder,Frey boy,,,,,,,,,,,
Walder Rivers,Walder Rivers,,,,,,,,,,,,,
Waymar-Royce,Ser-Waymar-Royce,Waymar-Royce,Waymar,Ser-Waymar,,,,,,,,,,
Weese,Weese,,,,,,,,,,,,,
Wendel-Manderly,Ser-Wendel-Manderly,Wendel-Manderly,Ser-Wendel,Wendel,,,,,,,,,,
Wex,Wex,,,,,,,,,,,,,
Willam,Lord-Willam,Willam,,,,,,,,,,,,
Willem-Darry,Willem-Darry,,,,,,,,,,,,,
Willem-Lannister,Willem-Lannister,,,,,,,,,,,,,
Willum,Willum,Lord-Willum,,,,,,,,,,,,
Wylis-Manderly,Ser-Wylis-Manderly,Wylis-Manderly,Wylis,Ser-Wylis,,,,,,,,,,
Wyman-Manderly,Lord-Wyman-Manderly,Lord-Wyman,Wyman,Lord-of-White-Harbor,Wyman-Manderly,Lord Manderly,,,,,,,,
Xaro-Xhoan-Daxos,Xaro-Xhoan-Daxos,Xhoan-Daxos,Xhoan,Daxos,Xaro,,,,,,,,,
Ygritte,Ygritte,,,,,,,,,,,,,
Yohn Royce,Bronze Yohn Royce,Yohn Royce,,,,,,,,,,,,
Yoren,Yoren,,,,,,,,,,,,,
Septon Barre,Septon Barre,Barre,,,,,,,,,,,,
Gerold Hightower,Ser Gerold Hightower,Gerold Hightower,White Bull,Ser Gerold,Gerold,,,,,,,,,
Marq Piper,Marq Piper,Ser Marq Piper,Marq,,,,,,,,,,,
